	analysis_label	pic_x_trait	pic_y_trait	R2	p	sig_marker	FDR_q	slope	pic_filter_column	pic_filter_value	results_dir	slope_std_error	T_stat	pic_suffix	trait_table	tree
0	gamma_proteobacteria_dominance_vs_disease	dominance_all	perc_dis	0.6683	1.08e-06	***	2.5920000000000003e-05	60.45	most_abundant_class_all	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria	" ../output/PIC_results/A4_gamma_proteobacteria_dominance_vs_disease/PIC_dominance_all_vs_perc_dis_most_abundant_class_all_is_D_0__Bacteria_D_1__Proteobacteria_D_2__Gammaproteobacteria/"""	9.08	6.658		../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros.tsv	../output/huang_roy_genus_tree.newick
1	gamma_proteobacteria_dominance_vs_disease	dominance_all	perc_dis	0.1471	0.116	n.s	0.4776	4.912	most_abundant_class_all	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria	" ../output/PIC_results/A4_gamma_proteobacteria_dominance_vs_disease/PIC_dominance_all_vs_perc_dis_most_abundant_class_all_is_D_0__Bacteria_D_1__Proteobacteria_D_2__Alphaproteobacteria/"""	2.957	1.661		../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros.tsv	../output/huang_roy_genus_tree.newick
2	gamma_proteobacteria_dominance_vs_disease	observed_features_all	perc_dis	0.03323	0.394	n.s	0.6754285714285714	0.02403	most_abundant_class_all	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria	" ../output/PIC_results/A4_gamma_proteobacteria_dominance_vs_disease/PIC_observed_features_all_vs_perc_dis_most_abundant_class_all_is_D_0__Bacteria_D_1__Proteobacteria_D_2__Gammaproteobacteria/"""	0.02763	0.87		../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros.tsv	../output/huang_roy_genus_tree.newick
3	gamma_proteobacteria_dominance_vs_disease	observed_features_all	perc_dis	0.2123	0.0543	.	0.4344	-0.015302	most_abundant_class_all	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria	" ../output/PIC_results/A4_gamma_proteobacteria_dominance_vs_disease/PIC_observed_features_all_vs_perc_dis_most_abundant_class_all_is_D_0__Bacteria_D_1__Proteobacteria_D_2__Alphaproteobacteria/"""	0.007368	-2.077		../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros.tsv	../output/huang_roy_genus_tree.newick
4	gamma_proteobacteria_dominance_vs_disease	gini_index_all	perc_dis	0.0121	0.609	n.s	0.9135	8.776	most_abundant_class_all	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria	" ../output/PIC_results/A4_gamma_proteobacteria_dominance_vs_disease/PIC_gini_index_all_vs_perc_dis_most_abundant_class_all_is_D_0__Bacteria_D_1__Proteobacteria_D_2__Gammaproteobacteria/"""	16.908	0.519		../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros.tsv	../output/huang_roy_genus_tree.newick
5	gamma_proteobacteria_dominance_vs_disease	gini_index_all	perc_dis	0.0004873	0.931	n.s	0.962	-0.4473	most_abundant_class_all	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria	" ../output/PIC_results/A4_gamma_proteobacteria_dominance_vs_disease/PIC_gini_index_all_vs_perc_dis_most_abundant_class_all_is_D_0__Bacteria_D_1__Proteobacteria_D_2__Alphaproteobacteria/"""	5.0648	-0.088		../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros.tsv	../output/huang_roy_genus_tree.newick
6	gamma_proteobacteria_dominance_vs_disease	dominance_mucus	perc_dis	0.004694	0.719	n.s	0.962	1.438	most_abundant_class_mucus	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria	" ../output/PIC_results/A4_gamma_proteobacteria_dominance_vs_disease/PIC_dominance_mucus_vs_perc_dis_most_abundant_class_mucus_is_D_0__Bacteria_D_1__Proteobacteria_D_2__Gammaproteobacteria/"""	3.956	0.363		../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros.tsv	../output/huang_roy_genus_tree.newick
7	gamma_proteobacteria_dominance_vs_disease	dominance_mucus	perc_dis	0.0002992	0.962	n.s	0.962	-0.7054	most_abundant_class_mucus	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria	" ../output/PIC_results/A4_gamma_proteobacteria_dominance_vs_disease/PIC_dominance_mucus_vs_perc_dis_most_abundant_class_mucus_is_D_0__Bacteria_D_1__Proteobacteria_D_2__Alphaproteobacteria/"""	14.4148	-0.049		../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros.tsv	../output/huang_roy_genus_tree.newick
8	gamma_proteobacteria_dominance_vs_disease	observed_features_mucus	perc_dis	0.01168	0.57	n.s	0.9119999999999999	-0.004811	most_abundant_class_mucus	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria	" ../output/PIC_results/A4_gamma_proteobacteria_dominance_vs_disease/PIC_observed_features_mucus_vs_perc_dis_most_abundant_class_mucus_is_D_0__Bacteria_D_1__Proteobacteria_D_2__Gammaproteobacteria/"""	0.008362	-0.575		../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros.tsv	../output/huang_roy_genus_tree.newick
9	gamma_proteobacteria_dominance_vs_disease	observed_features_mucus	perc_dis	0.09333	0.391	n.s	0.6754285714285714	-0.02716	most_abundant_class_mucus	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria	" ../output/PIC_results/A4_gamma_proteobacteria_dominance_vs_disease/PIC_observed_features_mucus_vs_perc_dis_most_abundant_class_mucus_is_D_0__Bacteria_D_1__Proteobacteria_D_2__Alphaproteobacteria/"""	0.02993	-0.907		../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros.tsv	../output/huang_roy_genus_tree.newick
