species_name	TotalWS	TotalBBD	TotalBrB	TotalSEB	TotalGA	TotalAtN	TotalDiseased	adiv	rank_disease_inverse	clade	dummy
POC_Pocillopora_damicornis	0.004770165	0.003035559	0.000867303	0.028187337	0.000433651	0	0.037294015	83.42307692	1	Robust	0
POC_Seriatopora_caliendrum	0.006097561	0.003658537	0.000609756	0.040853659	0	0	0.051219513	89.46666667	2	Robust	0
POC_Stylophora	0.003351955	0.004469274	0	0.029050279	0.001117318	0	0.037988826	74.03846154	2	Robust	0
ACR_Acropora_cytherea	0.004979909	0.006147611	0.005460727	0.014493251	0.001030326	0	0.032111824	66.66666667	3	Complex	0
ACR_Acropora_hyacinthus	0.004979909	0.006147611	0.005460727	0.014493251	0.001030326	0	0.032111824	71.79661017	3	Complex	0
ACR_Acropora_humilis	0.004979909	0.006147611	0.005460727	0.014493251	0.001030326	0	0.032111824	59	4	Complex	0
FAV_Platygyra_sinensis	0.009708738	0	0	0.001941748	0	0	0.011650486	92	5	Robust	0
MUS_Lobophyllia_hemprichii	0.02685422	0.000426257	0.000426257	0.003836317	0	0	0.031543051	263.1111111	6	Robust	0
FAV_Favites_abdita	0.003764115	0.000418235	0	0.000418235	0.001254705	0	0.00585529	131.5714286	7	Robust	0
POR_Porites_lobata	0.007983904	0.001916137	0.000415163	0.003385175	0.000127742	0	0.013828121	151.2857143	8	Complex	0
ACR_Isopora_palifera	0	0	0	0	0	0	0	143.5384615	9	Complex	0
ACR_Montipora_aequituberculata	0.008631107	0.005351286	0.001208355	0.009321595	0.000690489	0.001553599	0.026756431	101	10	Complex	0
ACR_Montipora_hispida	0.008631107	0.005351286	0.001208355	0.009321595	0.000690489	0.001553599	0.026756431	24	10	Complex	0
DEN_Turbinaria	0.003120125	0	0	0.001560062	0.001560062	0	0.006240249	282.7368421	11	Complex	0
FAV_Echinopora_horrida	0.00481232	0.003368624	0.000481232	0.010105871	0	0	0.018768047	82.5	12	Robust	0
FAV_Echinopora_lamellosa	0.00481232	0.003368624	0.000481232	0.010105871	0	0	0.018768047	183.0833333	12	Robust	0
FAV_Echinopora_mammiformis	0.00481232	0.003368624	0.000481232	0.010105871	0	0	0.018768047	105.2857143	12	Robust	0
OCU_Galaxea_astreata	0.020238885	0.000331785	0	0.01592568	0	0	0.03649635	296.3478261	13	Complex	0
OCU_Galaxea_fascicularis	0.020238885	0.000331785	0	0.01592568	0	0	0.03649635	219.3333333	13	Complex	0
FAV_Diploastrea_heliopora	0.007042254	0	0	0	0	0	0.007042254	261.1	14	Robust	0
MER_Hydnophora_exesa	0.004909984	0	0	0.026186579	0	0	0.031096563	119.1666667	15	Robust	0
AGA_Pavona_varians	0.001934236	0.000483559	0.000483559	0.012572534	0	0	0.015473888	330.7391304	16	Complex	0
FAV_Caulastraea_furcata	0.006289308	0	0	0.012578616	0	0	0.018867924	356	17	Robust	0
FAV_Cyphastrea_serailia	0.007567568	0.001081081	0	0.002162162	0	0	0.010810811	109.5	17	Robust	0
FAV_Montastraea_curta	0.001193317	0	0	0.001193317	0	0	0.002386634	104.3333333	18	Robust	0
FAV_Goniastrea_edwardsi	0.001152074	0	0	0.000576037	0	0	0.001728111	242	19	Robust	0
FAV_Goniastrea_favulus	0.001152074	0	0	0.000576037	0	0	0.001728111	265.7777778	19	Robust	0
AGA_Pachyseris	0.005621926	0.011946592	0	0.011243851	0.000702741	0	0.02951511	114.6666667	20	Complex	0
EUP_Physogyra_lichtensteini	0	0	0	0	0	0	0	163.0666667	20	Robust	0
FAV_Leptastrea_transversa	0	0.001633987	0	0.004901961	0	0	0.006535948	312	20	Robust	0
MER_Merulina_ampliata	0.003278689	0	0	0.009836066	0	0	0.013114755	90.625	20	Robust	0
MUS_Acanthastrea_hillae	0	0	0	0	0	0	0	145	20	Robust	0
PEC_Mycedium_elephantotus	0.006024096	0	0	0.002008032	0.004016064	0	0.012048192	216.3333333	20	Robust	0
POR_Alveopora	0.003745318	0	0	0.003745318	0	0	0.007490636	175	20	Complex	0
POR_Porites_cylindrica	0.007983904	0.001916137	0.000415163	0.003385175	0.000127742	0	0.013828121	99.33333333	20	Complex	0
SID_Psammocora_contigua	0.003937008	0.003937008	0	0	0	0	0.007874016	56	20	Robust	0
SID_Psammocora_digitata	0.003937008	0.003937008	0	0	0	0	0.007874016	266.3333333	20	Robust	0
