"","V1","V2"
"COR_Discosoma",0.188454985900246,-1.69176255655207
"COR_Ricordea_florida",-0.20615406775487,-0.358554559598199
"MIC_Letepsammia",0.718608473914139,0.440804697716605
"MIC_Rhombopsammia",-0.153240822922276,0.421276202293297
"MIC_Stephanophyllia",0.01102859356273,0.520707892503689
"GAR_Gardineria_hawaiiensis",1.648663347124,-0.906279082497168
"GAR_Gardineria_paradoxa",0.282810737697232,-0.471728208378681
"ANT_Anthemiphyllia_patera",-0.353636668495815,-1.14350819676245
"CAR_Deltocyathus_ornatus",-1.66489090453129,-0.860861847945216
"CAR_Deltocyathus_suluensis",-1.63850413986828,-0.0841077783890785
"CAR_Deltocyathus_sarsi",0.176937921548059,0.610074921352424
"CAR_Deltocyathus_inusitatus",-0.326694574349328,-0.00780098608112724
"CAR_Deltocyathus_rotulus",-0.425090902517388,-0.38980680439778
"ANT_Anthemiphyllia_spinifera",-0.0518898340300237,0.957346047761656
"ANT_Anthemiphyllia_dentata",-0.587817487899356,0.297043215139051
"CAR_Ceratotrochus",0.33333558727966,-0.0967207843262534
"CAR_Conotrochus",1.60876476271322,0.54914334057667
"CAR_Vaughanella",1.42322095770063,0.379440346531532
"CAR_Stephanocyathus_weberianus",0.00492763242682304,-0.830135748837679
"CAR_Stephanocyathus_platypus",-0.399694036730864,-0.461747486114333
"CAR_Stephanocyathus_coronatus",1.24917007464629,-1.39147609669616
"CAR_Stephanocyathus_spiniger",-0.869268422403262,-0.609143123633224
"CAR_Caryophyllia_versicolorata",-0.0995185428202654,-1.05761579668793
"CAR_Crispatotrochus",-0.51540571926724,-0.213691826942038
"CAR_Caryophyllia_inornata",-0.482277281112153,-0.408636183450952
"CAR_Caryophyllia_rugosa",-0.380821757584129,0.00751557847366726
"CAR_Caryophyllia_lamellifera",0.979965896076482,0.224910902850482
"CAR_Caryophyllia_grayi",-0.0410420622212699,0.325322557264858
"STE_Stenocyathus_vermiformis",-0.151156317021264,0.427962757551987
"CAR_Caryophyllia_planilamellata",-0.863342691744871,0.740048377573186
"CAR_Caryophyllia_quadragenaria",-0.664044161389261,-1.0920672980588
"CAR_Caryophyllia_ambrosia",-0.104636098814549,0.524334549477357
"CAR_Caryophyllia_atlantica",0.158673135013722,-0.289983662884044
"CAR_Dasmosmilia_lymani",0.575231757920164,1.1327740691815
"CAR_Caryophyllia_scobinosa",-0.214860832028586,1.02767074987435
"CAR_Caryophyllia_unicristata",1.01350204413009,0.243846460497299
"CAR_Caryophyllia_grandis",0.0479223473344657,0.473541611323122
"CAR_Caryophyllia_transversalis",0.0659331023084452,0.944621112005475
"CAR_Lophelia_pertusa",-0.0851921846528351,0.494642278471146
"CAR_Solenosmilia_variabilis",1.6352448346856,-0.144334786006598
"CAR_Caryophyllia_diomedeae",0.0954503147201989,-0.141656933190173
"CAR_Desmophyllum",0.564647549926003,-1.30943666027105
"CAR_Caryophyllia_ralphae",-0.244172251017776,0.105823455443564
"CAR_Rhizosmilia_robusta",1.16597365476036,-0.438975603017756
"OCU_Madrepora",0.170135583231883,-1.53796351146303
"AST_Stylocoeniella",-1.23066077475441,1.02376523069265
"AST_Madracis_senaria",-0.613353603753663,0.309313156612204
"AST_Madracis_formosa",0.537444187708515,-0.0156491694067888
"AST_Madracis_carmabi",0.783297191288562,-0.292194651835959
"AST_Madracis_auretenra",-0.755564573981496,-0.0870223692282051
"AST_Madracis_asanoi",-0.295894251071876,0.509395096187195
"AST_Madracis_pharensis",0.151476132011093,0.758962270747654
"AST_Madracis_decactis",0.480680710651678,1.38514976165531
"POC_Stylophora",0.200826315297802,0.558716087706445
"POC_Seriatopora_caliendrum",-0.248788048061299,0.233439440494266
"POC_Seriatopora_hystrix",0.00555286414492323,-0.746466046139
"POC_Pocillopora_meandrina",-0.492953882431165,0.378187858731184
"POC_Pocillopora_eydouxi",-1.00540336390601,-1.21301073422618
"POC_Pocillopora_damicornis",-0.999459141177829,-0.682271039776882
"POC_Pocillopora_verrucosa",0.918007478373384,-0.364347794201897
"CAR_Heterocyathus",1.18287623839379,0.60488042247005
"FAV_Oulastrea_crispata",-0.452889534611082,-0.617042663896199
