Disease_Trait,Diversity_Trait,N_Microbes,Compartment,Model,pVal,R_Squared
percent_diseased,observed_features_tissue,415583,tissue,lm(y_trait_positive ~ x_trait_positive -1),0.07171318,0.139954091
percent_diseased,gini_index_tissue,415583,tissue,lm(y_trait_positive ~ x_trait_positive -1),0.338767525,0.041654888
percent_diseased,dominance_tissue,415583,tissue,lm(y_trait_positive ~ x_trait_positive -1),0.000815694,0.405781265
percent_black_band_disease,observed_features_tissue,415583,tissue,lm(y_trait_positive ~ x_trait_positive -1),0.257792177,0.05780091
percent_black_band_disease,gini_index_tissue,415583,tissue,lm(y_trait_positive ~ x_trait_positive -1),0.590346092,0.013384885
percent_black_band_disease,dominance_tissue,415583,tissue,lm(y_trait_positive ~ x_trait_positive -1),0.993353458,3.23E-06
percent_white_disease,observed_features_tissue,415583,tissue,lm(y_trait_positive ~ x_trait_positive -1),0.535706232,0.017676291
percent_white_disease,gini_index_tissue,415583,tissue,lm(y_trait_positive ~ x_trait_positive -1),0.167608081,0.084723183
percent_white_disease,dominance_tissue,415583,tissue,lm(y_trait_positive ~ x_trait_positive -1),0.743026756,0.004985397
percent_skeletal_eroding_band,observed_features_tissue,415583,tissue,lm(y_trait_positive ~ x_trait_positive -1),0.079700797,0.133036904
percent_skeletal_eroding_band,gini_index_tissue,415583,tissue,lm(y_trait_positive ~ x_trait_positive -1),0.754778029,0.00452612
percent_skeletal_eroding_band,dominance_tissue,415583,tissue,lm(y_trait_positive ~ x_trait_positive -1),0.792759828,0.003204492
percent_diseased,observed_features_skeleton,415583,skeleton,lm(y_trait_positive ~ x_trait_positive -1),0.17931538,0.08041947
percent_diseased,gini_index_skeleton,415583,skeleton,lm(y_trait_positive ~ x_trait_positive -1),0.336870027,0.04197638
percent_diseased,dominance_skeleton,415583,skeleton,lm(y_trait_positive ~ x_trait_positive -1),0.116437068,0.108256173
percent_black_band_disease,observed_features_skeleton,415583,skeleton,lm(y_trait_positive ~ x_trait_positive -1),0.447250597,0.026499497
percent_black_band_disease,gini_index_skeleton,415583,skeleton,lm(y_trait_positive ~ x_trait_positive -1),0.414125484,0.030533701
percent_black_band_disease,dominance_skeleton,415583,skeleton,lm(y_trait_positive ~ x_trait_positive -1),0.849083206,0.001682293
percent_white_disease,observed_features_skeleton,415583,skeleton,lm(y_trait_positive ~ x_trait_positive -1),0.006588806,0.290374856
percent_white_disease,gini_index_skeleton,415583,skeleton,lm(y_trait_positive ~ x_trait_positive -1),0.038044774,0.181276637
