	analysis_label	x_trait	y_trait	R2	p	FDR_q	slope	model_name	best_model	AIC	AICc	delta_AICc	filter_column	filter_value	results_dir	x_trait_slope_95CI	compartment	branch_length_transformation	estimated_parameter	parameter_value	intercept	x_trait_slope_stdev	trait_table	tree
0	alpha_diversity_vs_disease	observed_features_all	perc_dis	0.0042656789388809	0.673601665407751	0.8669551701785149	-0.0037032284261292	BM_Lambda	True	258.269820574064	258.562503500893	0.0	None	None	../output/PIC_results/A1_alpha_diversity_vs_disease/PIC_observed_features_all_vs_perc_dis/PGLS_results.tsv	-0.0208147876059056 - 0.0134083307536471	all	lambda=ML delta=1kappa=1	lambda	lambda : 1e-06 (95% CI  NA  -  0.244444540544028 )	3.60474181895508	0.0087303873366205	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros.tsv	../output/huang_roy_genus_tree.newick
1	alpha_diversity_vs_disease	gini_index_mucus	perc_dis	0.0672493068757395	0.106119238083092	0.424476952332368	12.5833338964772	BM_Lambda	True	234.888224819655	235.212549143979	0.0	None	None	../output/PIC_results/A1_alpha_diversity_vs_disease/PIC_gini_index_mucus_vs_perc_dis/PGLS_results.tsv	-2.31709871540465 - 27.4837665083591	mucus	lambda=ML delta=1kappa=1	lambda	lambda : 1e-06 (95% CI  NA  -  0.243692382427815 )	-7.95229460608363	7.60226153667441	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros.tsv	../output/huang_roy_genus_tree.newick
2	alpha_diversity_vs_disease	dominance_tissue	perc_dis	0.267905558744562	0.0006252360124068	0.007502832148881601	16.6614951601625	BM_Lambda	True	225.474196527145	225.79852085147	0.0	None	None	../output/PIC_results/A1_alpha_diversity_vs_disease/PIC_dominance_tissue_vs_perc_dis/PGLS_results.tsv	7.90418086490031 - 25.4188094554246	tissue	lambda=ML delta=1kappa=1	lambda	lambda : 1e-06 (95% CI  NA  -  0.277369813805761 )	0.30960428800014	4.46801749758273	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros.tsv	../output/huang_roy_genus_tree.newick
3	alpha_diversity_vs_disease	dominance_skeleton	perc_dis	0.001712428308775	0.794708905996972	0.8669551701785149	1.37336361271475	BM_Lambda	True	248.261706969512	248.569399277204	0.0	None	None	../output/PIC_results/A1_alpha_diversity_vs_disease/PIC_dominance_skeleton_vs_perc_dis/PGLS_results.tsv	-8.90285287902029 - 11.6495801044498	skeleton	lambda=ML delta=1kappa=1	lambda	lambda : 1e-06 (95% CI  NA  -  0.244883128326734 )	2.93473825237954	5.242967597824	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros.tsv	../output/huang_roy_genus_tree.newick
4	alpha_diversity_vs_disease	observed_features_tissue	perc_dis	0.0030578095224328	0.734684045854866	0.8669551701785149	0.0025792390336562	BM_Lambda	True	237.825526969552	238.149851293876	0.0	None	None	../output/PIC_results/A1_alpha_diversity_vs_disease/PIC_observed_features_tissue_vs_perc_dis/PGLS_results.tsv	-0.0122283938672776 - 0.0173868719345901	tissue	lambda=ML delta=1kappa=1	lambda	lambda : 1e-06 (95% CI  NA  -  0.240949828222544 )	2.83741259966659	0.0075549147453744	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros.tsv	../output/huang_roy_genus_tree.newick
5	alpha_diversity_vs_disease	gini_index_tissue	perc_dis	0.0006887816733473	0.872290392179639	0.872290392179639	1.17341996146786	BM_Lambda	True	237.920465976825	238.24479030115	0.0	None	None	../output/PIC_results/A1_alpha_diversity_vs_disease/PIC_gini_index_tissue_vs_perc_dis/PGLS_results.tsv	-13.0376682352235 - 15.3845081581592	tissue	lambda=ML delta=1kappa=1	lambda	lambda : 1e-06 (95% CI  NA  -  0.236307502967153 )	2.20791078718878	7.25055520239354	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros.tsv	../output/huang_roy_genus_tree.newick
6	alpha_diversity_vs_disease	observed_features_mucus	perc_dis	0.0264060529095237	0.316427769954884	0.5424476056369439	-0.0135666241133784	BM_Lambda	True	236.602479596298	236.926803920622	0.0	None	None	../output/PIC_results/A1_alpha_diversity_vs_disease/PIC_observed_features_mucus_vs_perc_dis/PGLS_results.tsv	-0.0397589010128199 - 0.012625652786063	mucus	lambda=ML delta=1kappa=1	lambda	lambda : 1e-06 (95% CI  NA  -  0.301833113389224 )	4.43356469290978	0.0133634065813477	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros.tsv	../output/huang_roy_genus_tree.newick
7	alpha_diversity_vs_disease	observed_features_skeleton	perc_dis	0.0046732025531615	0.667077335624132	0.8669551701785149	-0.0034099346245796	BM_Lambda	True	248.136956053173	248.444648360865	0.0	None	None	../output/PIC_results/A1_alpha_diversity_vs_disease/PIC_observed_features_skeleton_vs_perc_dis/PGLS_results.tsv	-0.0188321823277538 - 0.0120123130785946	skeleton	lambda=ML delta=1kappa=1	lambda	lambda : 1e-06 (95% CI  NA  -  0.238060846211266 )	3.70199080771889	0.0078684937261092	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros.tsv	../output/huang_roy_genus_tree.newick
8	alpha_diversity_vs_disease	gini_index_all	perc_dis	0.0350848824473056	0.22340890821573	0.51302049408166	9.03111244893404	BM_Lambda	True	256.886445627523	257.179128554352	0.0	None	None	../output/PIC_results/A1_alpha_diversity_vs_disease/PIC_gini_index_all_vs_perc_dis/PGLS_results.tsv	-5.29265358035327 - 23.3548784782213	all	lambda=ML delta=1kappa=1	lambda	lambda : 1e-06 (95% CI  NA  -  0.217683123298543 )	-5.34842435714279	7.30804389249353	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros.tsv	../output/huang_roy_genus_tree.newick
9	alpha_diversity_vs_disease	dominance_mucus	perc_dis	0.0337462713370676	0.25651024704083	0.51302049408166	5.78653897463466	BM_Lambda	True	236.299764963513	236.624089287838	0.0	None	None	../output/PIC_results/A1_alpha_diversity_vs_disease/PIC_dominance_mucus_vs_perc_dis/PGLS_results.tsv	-4.05846396167726 - 15.6315419109466	mucus	lambda=ML delta=1kappa=1	lambda	lambda : 1e-06 (95% CI  NA  -  0.301355349590762 )	2.04522150198316	5.0229606817918	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros.tsv	../output/huang_roy_genus_tree.newick
